ID,Custom ID,Name,Date of Birth,Hometown,Current Position
1333,PER00180,Ông Phùng Văn Cung ( Phó Chủ Tịch Kiêm Chức),,,Bộ trưởng  Bộ Nội vụ
1334,PER00181,Ông Cao Văn Bổn,,,Bộ trưởng  Bộ Kinh tế Tài chính
1335,PER00182,Ông Lưu Hữu Phước,,,Bộ trưởng  Bộ Thông tin Văn hoá
1336,PER00183,Ông Nguyễn Văn Kiết ( Phó Chủ Tịch Kiêm Chức),,,Bộ trưởng  Bộ Giáo dục và Thanh niên
1337,PER00184,Bà Dương Quỳnh Hoa,,,Bộ trưởng  Bộ Thương binh và Xã hội
1338,PER00185,Ông Trương Như Tảng,,,Bộ trưởng  Bộ Tư pháp
1339,PER00186,Ông Trần Hữu Dực (Từ 3-1974 ),,,Phó Thủ tướng
1340,PER00187,Ông Phan Trọng Tuệ (Từ 3-1974 ),,,Phó Thủ tướng
1341,PER00188,Ông Đặng Việt Châu (Từ 3-1974),,,Phó Thủ tướng
1342,PER00189,Ông Nguyễn Côn,,,Phó Thủ tướng
1343,PER00190,Ông Đỗ Mười,,,Phó Chủ tịch Hội đồng Bộ trưởng
1344,PER00191,Ông Võ Nguyên Giáp (Phó Thủ Tướng Kiêm Chức),,,Bộ trưởng  Bộ Quốc phòng
1345,PER00192,Ông Nguyễn Duy Trinh (Phó Thủ Tướng Kiêm Chức),,,Bộ trưởng  Bộ Ngoại giao
1346,PER00193,Ông Xuân Thủy,,,Bộ trưởng  không Bộ
1347,PER00194,Ông Dương Quốc Chính,,,Bộ trưởng  Bộ Nội vụ
1348,PER00195,Ông Nguyễn Lam (Từ 6-1973 Đến 3-1974),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1349,PER00196,"Ông Nguyễn Côn (Phó Thủ Tướng Kiêm Chức, Đến 6-1973)",,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1350,PER00197,Ông Lê Thanh Nghị (Phó Thủ Tướng Kiêm Chức Từ 3-1974),,,Chủ nhiệm  Ủy ban Kế hoạch Nhà nước
1351,PER00198,Ông Nguyễn Lam (Đến 6-1973),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1352,PER00199,Ông Nguyễn Văn Kha (Đến 6-1974),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Kế hoạch Nhà nước"
1353,PER00200,Ông Đào Thiện Thi (Từ 3-1974),,,Quyền Bộ trưởng  Bộ Tài chính
1354,PER00201,Ông Đặng Việt Châu (Đến 3-1974),,,Bộ trưởng  Bộ Tài chính
1355,PER00202,Ông Nguyễn Lam (Đến 3-1974),,,Chủ nhiệm  Ủy ban Vật giá Nhà nước
1356,PER00203,"Ông Đỗ Mười (Phó Thủ Tướng Kiêm Chức, Đến 6-1973)",,,Chủ nhiệm  Ủy ban Kiến thiết cơ bản Nhà nước
1357,PER00204,"Ông Hoàng Anh (Phó Thủ Tướng Kiêm Chức, Đến 4-1974)",,,Chủ nhiệm  Ủy ban Nông nghiệp Trung ương
1358,PER00205,Ông Võ Thúc Đồng (Đến 4-1974),,,Quyền Chủ nhiệm  Ủy ban Nông nghiệp Trung ương
1359,PER00206,Ông Nguyễn Văn Lộc (Đến 3-1974),,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Nông nghiệp Trung ương"
1360,PER00207,Ông Võ Thúc Đồng (Từ 11 - 1974),,,Chủ nhiệm  Ủy ban Nông nghiệp Trung ương
1361,PER00208,Ông Hà Kế Tấn (Đến 6-1973),,,Bộ trưởng  Bộ Thủy lợi
1362,PER00209,Ông Nguyễn Thanh Bình (Từ 6-1973),,,Bộ trưởng  Bộ Thủy lợi
1363,PER00210,Ông Nguyễn Hữu Mai (Đến 4-1974),,,Bộ trưởng  Bộ Điện và Than
1364,PER00211,Ông Nguyễn Chấn (Từ 4-1974),,,Quyền Bộ trưởng  Bộ Điện và Than
1365,PER00212,Ông Đinh Đức Thiện (Đến 3-1974),,,Bộ trưởng  Bộ Cơ khí và  Luyện kim
1366,PER00213,Ông Nguyễn Côn (Từ 3-1974),,,Bộ trưởng  Bộ Cơ khí và  Luyện kim
1367,PER00214,Ông Ngô Minh Loan,,,"Bộ trưởng, Phó Chủ nhiệm   Ủy ban Nông nghiệp Trung ương"
1368,PER00215,Ông Bùi Quang Tạo (Đến 6-1973),,,Bộ trưởng  Bộ Kiến trúc
1369,PER00216,Ông Phan Trọng Tuệ (Đến 3-1974),,,Bộ trưởng  Bộ Giao thông vận tải
1370,PER00217,Ông Dương Bạch Liên (Từ 3-1974),,,Bộ trưởng  Bộ Giao thông vận tải
1371,PER00218,Ông Nguyễn Hữu Khiếu (Đến 4-1974),,,Bộ trưởng  Bộ Lao động
1372,PER00219,Ông Nguyễn Thọ Chân (Từ 4-1974),,,Bộ trưởng  Bộ Lao động
1373,PER00220,Ông Trần Danh Tuyên,,,Bộ trưởng  Bộ Vật tư
1374,PER00221,Ông Hoàng Quốc Thịnh,,,Bộ trưởng  Bộ Nội thương
1375,PER00222,Ông Tạ Quang Bửu,,,Bộ trưởng  Bộ Đại học và Trung học chuyên  nghiệp
1376,PER00223,Ông Nguyễn Văn Hưởng (Đến 4-1974),,,Bộ trưởng  Bộ Y tế
1377,PER00224,Ông Vũ Văn Cẩn (Từ 4-1974),,,Quyền Bộ trưởng  Bộ Y tế
1378,PER00225,Ông Nguyễn Văn Lộc (Từ 3-1974),,,Chủ nhiệm  Ủy ban Thanh tra Chính phủ
1379,PER00226,Ông Nguyễn Thanh Bình (Đến 3-1974),,,Chủ nhiệm  Ủy ban Thanh tra Chính phủ
1380,PER00227,Ông Trần Hữu Dực,,,Phó Thủ tướng
1381,PER00228,Ông Trần Quang Huy,,,Bộ trưởng Chuyên trách   Văn giáo
1382,PER00229,Ông Phan Mỹ (Từ 4-1973),,,"Bộ trưởng, Chủ nhiệm  Văn phòng Phủ Thủ tướng"
1383,PER00230,Ông Đặng Thí (Đến 4-1973),,,"Bộ trưởng, Chủ nhiệm  Văn phòng Phủ Thủ tướng"
1384,PER00231,"Ông Đỗ Mười (Phó Thủ Tướng Kiêm Chức, Từ 6-1973, Sau Khi Thành Lập Bộ)",,,Bộ trưởng  Bộ Xây dựng
1385,PER00232,Ông Hà Kế Tấn (Từ 6-1973),,,Bộ trưởng phụ trách  Công trình Sông Đà
1386,PER00233,Ông Đặng Thí (Từ 3-1974),,,Chủ nhiệm  Ủy ban Thống nhất của Chính phủ
1387,PER00234,Luật Sư Nguyễn Hữu Thọ,,,Chủ tịch Hội đồng cố vấn
1388,PER00235,Luật Sư Trịnh Đình Thảo,,,Phó Chủ tịch
